"","landslide_category","landslide_trigger","landslide_size","landslide_setting","fatality_count","injury_count","country_name","year"
"1","landslide","rain","large","mine",11,NA,"China","08"
"2","mudslide","downpour","small","unknown",0,NA,"United States","09"
"3","landslide","downpour","large","unknown",10,NA,"Peru","07"
"4","landslide","monsoon","medium","unknown",1,NA,"Nepal","09"
"5","landslide","tropical_cyclone","medium","unknown",0,NA,"Philippines","10"
"6","landslide","downpour","medium","unknown",0,NA,"Philippines","12"
"7","mudslide","downpour","small","unknown",0,NA,"United States","12"
"8","complex","tropical_cyclone","medium","unknown",3,NA,"Mexico","07"
"9","mudslide","rain","medium","unknown",NA,NA,"United States","07"
"10","complex","downpour","medium","unknown",2,NA,"China","08"
"11","complex","downpour","medium","unknown",4,NA,"China","08"
"12","landslide","unknown","unknown","above_road",0,0,"United States","14"
"13","mudslide","rain","small","unknown",0,NA,"United States","09"
"14","landslide","downpour","medium","unknown",0,1,"Philippines","09"
"15","mudslide","rain","small","unknown",0,NA,"United States","09"
"16","landslide","rain","small","unknown",0,NA,"United States","09"
"17","landslide","rain","small","unknown",0,NA,"United States","09"
"18","mudslide","rain","small","unknown",0,NA,"United States","09"
"19","landslide","downpour","medium","unknown",0,NA,"United States","09"
"20","mudslide","rain","small","unknown",0,NA,"United States","09"
"21","mudslide","unknown","small","unknown",0,NA,"United States","09"
"22","complex","rain","small","unknown",0,NA,"United States","09"
"23","mudslide","rain","small","unknown",0,NA,"United States","09"
"24","landslide","downpour","medium","unknown",6,NA,"Algeria","09"
"25","mudslide","rain","small","unknown",0,NA,"United States","09"
"26","landslide","rain","medium","unknown",0,NA,"Malaysia","09"
"27","landslide","rain","medium","unknown",4,NA,"Indonesia","09"
"28","landslide","downpour","medium","unknown",7,NA,"Sierra Leone","09"
"29","landslide","downpour","medium","unknown",2,NA,"Brunei","09"
"30","landslide","downpour","medium","unknown",2,NA,"Mexico","09"
"31","mudslide","downpour","medium","unknown",2,NA,"Italy","09"
"32","mudslide","rain","small","unknown",0,NA,"United States","09"
"33","landslide","downpour","medium","unknown",0,NA,"India","09"
"34","landslide","downpour","medium","unknown",2,NA,"Philippines","09"
"35","landslide","downpour","medium","unknown",2,NA,"Philippines","09"
"36","mudslide","downpour","small","unknown",0,NA,"United States","09"
"37","complex","downpour","small","unknown",0,NA,"Australia","09"
"38","landslide","monsoon","medium","unknown",3,NA,"Nepal","09"
