"","country","n","v_alpha","parent"
"1","United States",2992,1,"unique"
"2","India",1265,0.99290780141844,"unique"
"3","Philippines",675,0.985815602836879,"unique"
"4","Nepal",481,0.978723404255319,"unique"
"5","China",426,0.971631205673759,"unique"
"6","Indonesia",355,0.964539007092199,"unique"
"7","United Kingdom",229,0.957446808510638,"unique"
"8","Brazil",214,0.950354609929078,"unique"
"9","Canada",174,0.943262411347518,"unique"
"10","Malaysia",171,0.936170212765957,"unique"
"11","Pakistan",142,0.929078014184397,"unique"
"12","Vietnam",116,0.921985815602837,"unique"
"13","New Zealand",106,0.914893617021277,"unique"
"14","Australia",105,0.907801418439716,"unique"
"15","Colombia",101,0.900709219858156,"unique"
"16","Mexico",86,0.893617021276596,"unique"
"17","Guatemala",82,0.886524822695035,"unique"
"18","Japan",82,0.879432624113475,"unique"
"19","Thailand",77,0.872340425531915,"unique"
"20","Costa Rica",76,0.865248226950355,"unique"
"21","Sri Lanka",75,0.858156028368794,"unique"
"22","Taiwan",68,0.851063829787234,"unique"
"23","Trinidad and Tobago",65,0.843971631205674,"unique"
"24","Bangladesh",58,0.836879432624113,"unique"
"25","Peru",58,0.829787234042553,"unique"
"26","Italy",55,0.822695035460993,"unique"
"27","Kenya",54,0.815602836879433,"unique"
"28","Uganda",45,0.808510638297872,"unique"
"29","Myanmar [Burma]",44,0.801418439716312,"unique"
"30","Panama",44,0.794326241134752,"unique"
"31","Georgia",39,0.787234042553192,"unique"
"32","Honduras",39,0.780141843971631,"unique"
"33","Jamaica",37,0.773049645390071,"unique"
"34","Bulgaria",35,0.765957446808511,"unique"
"35","Fiji",35,0.75886524822695,"unique"
"36","Ecuador",32,0.75177304964539,"unique"
"37","Kyrgyzstan",32,0.74468085106383,"unique"
"38","Nicaragua",31,0.737588652482269,"unique"
"39","Ireland",23,0.730496453900709,"unique"
"40","El Salvador",22,0.723404255319149,"unique"
"41","France",22,0.716312056737589,"unique"
"42","Haiti",22,0.709219858156028,"unique"
"43","Norway",22,0.702127659574468,"unique"
"44","Azerbaijan",21,0.695035460992908,"unique"
"45","Papua New Guinea",21,0.687943262411348,"unique"
"46","South Africa",21,0.680851063829787,"unique"
"47","Turkey",21,0.673758865248227,"unique"
"48","Venezuela",21,0.666666666666667,"unique"
"49","Bhutan",20,0.659574468085106,"unique"
"50","Tajikistan",20,0.652482269503546,"unique"
"51","Switzerland",19,0.645390070921986,"unique"
"52","Dominican Republic",17,0.638297872340426,"unique"
"53","Dominica",16,0.631205673758865,"unique"
"54","Afghanistan",15,0.624113475177305,"unique"
"55","Nigeria",15,0.617021276595745,"unique"
"56","Brunei",14,0.609929078014184,"unique"
"57","Chile",14,0.602836879432624,"unique"
