variable,missing,complete,n,min,max,empty,n_unique
admin_division_name,1637,9396,11033,3,36,0,887
country_code,1564,9469,11033,2,2,0,139
country_name,1562,9471,11033,4,32,0,141
created_date,0,11033,11033,8,22,0,420
event_date,0,11033,11033,22,22,0,6550
event_description,862,10171,11033,1003,1003,0,9401
event_import_source,1563,9470,11033,80,80,0,3
event_time,6021,5012,11033,7,7,0,25
event_title,0,11033,11033,150,150,0,10546
gazeteer_closest_point,1563,9470,11033,45,45,0,4389
landslide_category,1,11032,11033,19,19,0,14
landslide_setting,69,10964,11033,16,16,0,14
landslide_size,9,11024,11033,12,12,0,6
landslide_trigger,23,11010,11033,23,23,0,18
last_edited_date,0,11033,11033,22,22,0,1
location_accuracy,2,11031,11033,7,7,0,9
location_description,102,10931,11033,412,412,0,10432
notes,10716,317,11033,484,484,0,265
photo_link,9537,1496,11033,292,292,0,1469
source_link,846,10187,11033,386,386,0,8294
source_name,0,11033,11033,172,172,0,3918
storm_name,10456,577,11033,41,41,0,217
submitted_date,9,11024,11033,22,22,0,3787
